ITEM_SEQ,ITEM_NAME,ENTP_NAME,ITEM_PERMIT_DATE,CNSGN_MANUF,ETC_OTC_CODE,CHART,BAR_CODE,MATERIAL_NAME,EE_DOC_ID,UD_DOC_ID,NB_DOC_ID,INSERT_FILE,VALID_TERM,STORAGE_METHOD,REEXAM_TARGET,REEXAM_DATE,PACK_UNIT,EDI_CODE,PERMIT_KIND,ENTP_NO,NARCOTIC_KIND,NEWDRUG_CLASS_NAME,INDUTY_TYPE,MAIN_ITEM_INGR,INGR_NAME
202300008,화이투벤큐플러스코프연질캡슐,동화약품(주),2023.1.2,"(주)알피바이오, (주)알피바이오",1,미황색(연노랑) 내지 연한 청색의 투명한 내용물을 함유한 청색의 투명한 타원형 연질캡슐,8.81E+12,"총량 : 1캡슐1,130밀리그램|성분명 : 아세트아미노펜|분량 : 200.000|단위 : 밀리그램|규격 : USP|성분정보 : |비고 : ;총량 : 1캡슐1,130밀리그램|성분명 : 구아이페네신|분량 : 41.660|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1캡슐1,130밀리그램|성분명 : 덱스트로메토르판브롬화수소산염수화물|분량 : 8.000|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1캡슐1,130밀리그램|성분명 : 노스카핀염산염수화물|분량 : 5.340|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1캡슐1,130밀리그램|성분명 : 트리프롤리딘염산염수화물|분량 : 0.660|단위 : 밀리그램|규격 : USP|성분정보 : |비고 :",https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300008/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300008/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300008/NB,,제조일로부터 36 개월,"기밀용기, 실온(1~30℃)보관",,,내수용 - 10캡슐/상자[10캡슐/PTP X 1],,B,1331,,N,A,아세트아미노펜/구아이페네신/덱스트로메토르판브롬화수소산염수화물/노스카핀염산염수화물/트리프롤리딘염산염수화물,젤라틴/소르비톨스페셜글리세린블렌드/정제수/치자청색소/폴리에틸렌글리콜400/정제수/프로필렌글리콜/포비돈
202300014,콜드킴정,(주)킴스제약,2023.1.2,,1,연한 청색의 원형 정제,8.80E+12,총량 : 1정370.024밀리그램|성분명 : 아세트아미노펜|분량 : 200.00|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정370.024밀리그램|성분명 : 에페드린염산염|분량 : 25.00|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정370.024밀리그램|성분명 : 카페인무수물|분량 : 25.00|단위 : 밀리그램|규격 : KP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300014/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300014/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300014/NB,,제조일로부터 36 개월,"밀폐용기, 실온보관(1-30℃)",,,"60정/병,300정/병",,B,2691,,N,A,아세트아미노펜/에페드린염산염/카페인무수물,황색4호(타르트라진)/히드록시프로필셀룰로오스/유당수화물/전분글리콜산나트륨/경질무수규산/스테아르산마그네슘/청색1호(브릴리안트블루FCF)
202300019,"자누엑스알서방정50/750밀리그램(시타글립틴,메트포르민)",신일제약(주),2023.1.2,,2,밝은 녹색으로 양면이 볼록한 타원형의 서방성 필름코팅정,8.81E+12,총량 : 1정1400밀리그램|성분명 : 시타글립틴염산염수화물|분량 : 56.7|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정1400밀리그램|성분명 : 메트포르민염산염|분량 : 750|단위 : 밀리그램|규격 : EP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300019/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300019/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300019/NB,,제조일로부터 24 개월,"기밀용기, 실온(1-30℃) 보관",,,"28정/병,30정/병,56정/병,200정/병",649703050,A,1321,,N,A,시타글립틴염산염수화물/메트포르민염산염,규화미결정셀룰로오스/무수인산수소칼슘/히드록시프로필셀룰로오스/콜로이드성이산화규소/크로스카멜로오스나트륨/스테아릴푸마르산나트륨/카르복시메틸셀룰로오스나트륨/히프로멜로오스/콜로이드성이산화규소/스테아릴푸마르산나트륨/오파드라이 QX 321A610003 그린
202300020,"트루시타엠서방정50/750밀리그램(시타글립틴, 메트포르민)",(주)보령,2023.1.2,신일제약(주),2,밝은 녹색으로 양면이 볼록한 타원형의 서방성 필름코팅정,8.81E+12,총량 : 1정1400밀리그램|성분명 : 시타글립틴염산염수화물|분량 : 56.7|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정1400밀리그램|성분명 : 메트포르민염산염|분량 : 750|단위 : 밀리그램|규격 : EP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300020/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300020/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300020/NB,,제조일로부터 24 개월,"기밀용기, 실온(1-30℃)보관",,,"28정/병,56정/병,200정/병",641908210,A,1689,,N,A,시타글립틴염산염수화물/메트포르민염산염,규화미결정셀룰로오스/무수인산수소칼슘/히드록시프로필셀룰로오스/콜로이드성이산화규소/크로스카멜로오스나트륨/스테아릴푸마르산나트륨/카르복시메틸셀룰로오스나트륨/히프로멜로오스/콜로이드성이산화규소/스테아릴푸마르산나트륨/오파드라이 QX 321A610003 그린
202300021,자누리틴콤비서방정50/750 밀리그램,대원제약(주),2023.1.2,신일제약(주),2,밝은 녹색으로 양면이 볼록한 타원형의 서방성 필름코팅정,8.81E+12,총량 : 1정1400밀리그램|성분명 : 시타글립틴염산염수화물|분량 : 56.7|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정1400밀리그램|성분명 : 메트포르민염산염|분량 : 750|단위 : 밀리그램|규격 : EP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300021/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300021/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300021/NB,,제조일로부터 24 개월,"기밀용기, 실온(1-30℃)보관",,,"28정/병,56정/병,200정/병",671807620,A,1373,,N,A,시타글립틴염산염수화물/메트포르민염산염,규화미결정셀룰로오스/무수인산수소칼슘/히드록시프로필셀룰로오스/콜로이드성이산화규소/크로스카멜로오스나트륨/스테아릴푸마르산나트륨/카르복시메틸셀룰로오스나트륨/히프로멜로오스/콜로이드성이산화규소/스테아릴푸마르산나트륨/오파드라이 QX 321A610003 그린
202300022,바이타맥스큐정,미래바이오제약(주),2023.1.3,,1,적갈색의 장방형 필름코팅정,,총량 : 1정1085.8밀리그램|성분명 : 레티놀아세테이트 과립|분량 : 6.6|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 판토텐산칼슘|분량 : 10.87|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 폴산|분량 : 0.4|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : D-비오틴|분량 : 0.015|단위 : 밀리그램|규격 : USP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 산화아연|분량 : 18.7|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 푸마르산철|분량 : 82.14|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 산화마그네슘|분량 : 165.8|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 셀레늄함유건조효모|분량 : 18.52|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 농축콜레칼시페롤 산|분량 : 4|단위 : 밀리그램|규격 : EP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 직타용아스코르브산97%|분량 : 247.43|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 티아민질산염|분량 : 3.7|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 리보플라빈|분량 : 3.4|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 토코페롤아세테이트 2배산|분량 : 30|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 피리독신염산염|분량 : 3.65|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 니코틴산아미드|분량 : 29.76|단위 : 밀리그램|규격 : KP|성분정보 : |비고 : ;총량 : 1정1085.8밀리그램|성분명 : 시아노코발라민|분량 : 0.009|단위 : 밀리그램|규격 : KP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300022/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300022/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300022/NB,,제조일로부터 36 개월,"밀폐용기, 실온(1∼30℃)보관",,,"60정/병,90정/병,120정/병[(60정/병)x2],180정/병[(90정/병)x2]",,B,1390,,N,A,레티놀아세테이트 과립/판토텐산칼슘/폴산/D-비오틴/산화아연/푸마르산철/산화마그네슘/셀레늄함유건조효모/농축콜레칼시페롤 산/직타용아스코르브산97%/티아민질산염/리보플라빈/토코페롤아세테이트 2배산/피리독신염산염/니코틴산아미드/시아노코발라민,유당수화물/미결정셀룰로오스/저치환도히드록시프로필셀룰로오스/히드록시프로필셀룰로오스/크로스포비돈/전분글리콜산나트륨/경질무수규산/스테아르산마그네슘/탭쉴드갈색(99B411)
202300026,다포가정10밀리그램(다파글리플로진프로판디올수화물),삼천당제약(주),2023.1.3,,2,노란색의 양면이 볼록한 마름모형의 필름코팅정,8.81E+12,총량 : 1정250밀리그램|성분명 : 다파글리플로진프로판디올수화물|분량 : 12.3|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300026/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300026/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300026/NB,,제조일로부터 36 개월,"기밀용기, 실온(1~30℃) 보관",,,,651205890,A,1335,,N,A,다파글리플로진프로판디올수화물,만니톨/미결정셀룰로오스/저치환도히드록시프로필렌셀룰로오스/크로스카멜로오스나트륨/콜로이드성이산화규소/스테아르산마그네슘/히프로멜로오스/탭쉴드노란색(21Y922)
202300030,"삼다파듀오정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)",삼성제약(주),2023.1.3,지엘파마(주),2,베이지색의 타원형의 필름코팅정,8.81E+12,총량 : 1정520밀리그램-다파글리플로진층|성분명 : 다파글리플로진프로판디올수화물|분량 : 12.3|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정520밀리그램-시타글립틴층|성분명 : 시타글립틴인산염수화물|분량 : 128.5|단위 : 밀리그램|규격 : EP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300030/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300030/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300030/NB,,제조일로부터 36 개월,"기밀용기, 실온(1~30℃)보관",,,30정/상자[10정/PTP*3],642308720,A,1294,,N,A,다파글리플로진프로판디올수화물/시타글립틴인산염수화물,D-만니톨/미결정셀룰로오스/크로스카멜로오스나트륨/히드록시프로필셀룰로오스/스테아르산마그네슘/D-만니톨/미결정셀룰로오스/크로스카멜로오스나트륨/히드록시프로필셀룰로오스/스테아르산마그네슘/오파드라이 II 85F17438 베이지색
202300031,"다파시타립정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)",익수제약(주),2023.1.3,지엘파마(주),2,베이지색의 타원형의 필름코팅정,,총량 : 1정520밀리그램-다파글리플로진층|성분명 : 다파글리플로진프로판디올수화물|분량 : 12.3|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정520밀리그램-시타글립틴층|성분명 : 시타글립틴인산염수화물|분량 : 128.5|단위 : 밀리그램|규격 : EP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300031/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300031/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300031/NB,,제조일로부터 36 개월,"기밀용기, 실온(1~30℃)보관",,,30정/피티피[(10정/PTP x 3)],,A,1510,,N,A,다파글리플로진프로판디올수화물/시타글립틴인산염수화물,D-만니톨/미결정셀룰로오스/크로스카멜로오스나트륨/히드록시프로필셀룰로오스/스테아르산마그네슘/D-만니톨/미결정셀룰로오스/크로스카멜로오스나트륨/히드록시프로필셀룰로오스/스테아르산마그네슘/오파드라이 II 85F17438 베이지색
202300036,"시타글로정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)",에이치엘비제약(주),2023.1.3,지엘파마(주),2,베이지색의 타원형의 필름코팅정,8.81E+12,총량 : 1정520밀리그램-다파글리플로진층|성분명 : 다파글리플로진프로판디올수화물|분량 : 12.3|단위 : 밀리그램|규격 : 별규|성분정보 : |비고 : ;총량 : 1정520밀리그램-시타글립틴층|성분명 : 시타글립틴인산염수화물|분량 : 128.5|단위 : 밀리그램|규격 : EP|성분정보 : |비고 :,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300036/EE,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300036/UD,https://nedrug.mfds.go.kr/pbp/cmn/pdfDownload/202300036/NB,,제조일로부터 36 개월,"기밀용기, 실온(1~30℃) 보관",,,30정/피티피[10정/PTP x 3],647304510,A,1549,,N,A,다파글리플로진프로판디올수화물/시타글립틴인산염수화물,D-만니톨/미결정셀룰로오스/크로스카멜로오스나트륨/히드록시프로필셀룰로오스/스테아르산마그네슘/D-만니톨/미결정셀룰로오스/크로스카멜로오스나트륨/히드록시프로필셀룰로오스/스테아르산마그네슘/오파드라이 II 85F17438 베이지색
